,rcp26,rcp45,rcp60,rcp85
0,2029.0,2061.0,2014.0,2058.0
1,2029.0,2087.0,2014.0,2062.0
2,2036.0,2089.0,2015.0,2062.0
3,2026.0,2032.0,2014.0,2045.0
4,2029.0,2035.0,2014.0,2053.0
5,2029.0,2036.0,2014.0,2056.0
6,2032.0,,2014.0,2063.0
7,2030.0,,2014.0,2062.0
8,2029.0,2097.0,2014.0,2062.0
9,2030.0,,2014.0,2062.0
10,2030.0,,2014.0,2063.0
11,2029.0,,2014.0,2062.0
12,2029.0,,2014.0,2062.0
13,2032.0,,2014.0,2063.0
14,2029.0,,2014.0,2062.0
15,2029.0,,2014.0,2062.0
16,2030.0,,2014.0,2063.0
17,2029.0,,2014.0,2063.0
18,2035.0,,2014.0,2063.0
19,2035.0,,2014.0,2063.0
20,2035.0,,2014.0,2063.0
21,2032.0,,2014.0,2063.0
22,2029.0,,2014.0,2063.0
23,2032.0,,2014.0,2066.0
24,2032.0,,2014.0,2063.0
25,2035.0,,2014.0,2063.0
26,2035.0,,2014.0,2063.0
27,2035.0,,2014.0,2062.0
28,2030.0,,2014.0,2063.0
29,2035.0,,2014.0,2063.0
30,2030.0,,2014.0,2062.0
31,2030.0,,2014.0,2062.0
32,2029.0,,2014.0,2062.0
33,2029.0,,2014.0,2062.0
34,2032.0,,2014.0,2063.0
35,2030.0,,2014.0,2062.0
36,2054.0,2038.0,2065.0,2014.0
37,2065.0,2035.0,,2014.0
38,2065.0,2040.0,,2014.0
39,2047.0,2029.0,2044.0,2014.0
40,2050.0,2029.0,2047.0,2014.0
41,2053.0,2029.0,2054.0,2014.0
42,2088.0,2038.0,,2013.0
43,2066.0,2038.0,,2013.0
44,2065.0,2038.0,,2013.0
45,2088.0,2038.0,,2013.0
46,2088.0,2038.0,,2013.0
47,2066.0,2038.0,,2013.0
48,2066.0,2038.0,,2013.0
49,2088.0,2038.0,,2013.0
50,2093.0,2038.0,,2013.0
51,2088.0,2038.0,,2013.0
52,2094.0,2039.0,,2013.0
53,2094.0,2038.0,,2013.0
54,2094.0,2038.0,,2013.0
55,2094.0,2039.0,,2013.0
56,2094.0,2039.0,,2013.0
57,,2038.0,,2013.0
58,2093.0,2038.0,,2013.0
59,,2039.0,,2013.0
60,2088.0,2038.0,,2013.0
61,2094.0,2039.0,,2013.0
62,2093.0,2038.0,,2013.0
63,2088.0,2038.0,,2013.0
64,2088.0,2038.0,,2013.0
65,2094.0,2039.0,,2013.0
66,2088.0,2038.0,,2013.0
67,2088.0,2038.0,,2013.0
68,2088.0,2038.0,,2013.0
69,2088.0,2038.0,,2013.0
70,2088.0,2038.0,,2013.0
71,2093.0,2038.0,,2013.0
72,2042.0,2054.0,2035.0,2065.0
73,2042.0,2064.0,2035.0,2074.0
74,2090.0,2070.0,2041.0,2077.0
75,2034.0,2045.0,2033.0,2051.0
76,2035.0,2049.0,2033.0,2058.0
77,2037.0,2051.0,2034.0,2064.0
78,2097.0,2075.0,2038.0,
79,2097.0,2075.0,2038.0,
80,2043.0,2066.0,2035.0,
81,2097.0,2075.0,2038.0,
82,2097.0,2075.0,2038.0,
83,2046.0,2075.0,2035.0,
84,2046.0,2075.0,2035.0,
85,2097.0,2075.0,2038.0,
86,2098.0,2075.0,2038.0,
87,2097.0,2075.0,2038.0,
88,2098.0,2077.0,2040.0,
89,2098.0,2077.0,2038.0,
90,2098.0,2077.0,2040.0,
91,2098.0,2077.0,2041.0,
92,2098.0,2077.0,2041.0,
93,2098.0,2077.0,2040.0,
94,2098.0,2076.0,2038.0,
95,2098.0,2078.0,2041.0,
96,2097.0,2075.0,2040.0,
97,2098.0,2077.0,2040.0,
98,2097.0,2076.0,2038.0,
99,2097.0,2075.0,2040.0,
100,2097.0,2075.0,2038.0,
101,2098.0,2077.0,2041.0,
102,2097.0,2075.0,2038.0,
103,2097.0,2075.0,2038.0,
104,2097.0,2075.0,2038.0,
105,2097.0,2075.0,2038.0,
106,2097.0,2075.0,2038.0,
107,2097.0,2075.0,2038.0,
108,2062.0,2063.0,2059.0,2043.0
109,2074.0,2095.0,2095.0,2044.0
110,2076.0,,2098.0,
111,2040.0,2043.0,2041.0,2035.0
112,2051.0,2050.0,2044.0,2039.0
113,2060.0,2056.0,2048.0,2041.0
114,2085.0,,,
115,2082.0,,,
116,2077.0,,,2044.0
117,2082.0,,,
118,2085.0,,,
119,2080.0,,,
120,2080.0,,,
121,2085.0,,,
122,2086.0,,,
123,2084.0,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,2086.0,,,
131,,,,
132,2085.0,,,
133,,,,
134,2086.0,,,
135,2085.0,,,
136,2085.0,,,
137,2086.0,,,
138,2085.0,,,
139,2084.0,,,
140,2085.0,,,
141,2084.0,,,
142,2084.0,,,
143,2086.0,,,
144,2036.0,2057.0,2086.0,2061.0
145,2067.0,2094.0,,2080.0
146,2067.0,,,2081.0
147,2031.0,2047.0,2062.0,2050.0
148,2033.0,2051.0,2074.0,2056.0
149,2034.0,2056.0,2082.0,2059.0
150,2071.0,,,
151,2071.0,,,2083.0
152,2070.0,,,2082.0
