,GCM,Median,Standard_deviation,Sample_size
0,access1-0,2024,21.2,72
1,bcc-csm1-1,2013,2.5,144
2,bcc-csm1-1-m,2057,8.8,72
3,canesm2,2018,18.6,108
4,ccsm4,2033.5,15.5,144
5,cesm1-bgc,2053,8.2,72
6,cesm1-cam5,2020.5,9.5,144
7,cmcc-cm,2059,10.0,72
8,cnrm-cm5,2075,9.1,72
9,csiro-mk3-6-0,2030,13.5,144
10,fgoals-g2,2062,9.7,108
11,fio-esm,2087,13.5,77
12,gfdl-cm3,2030,9.3,144
13,gfdl-esm2g,2015.5,11.8,144
14,gfdl-esm2m,2012.5,4.7,144
15,giss-e2-h-cc,2027,0.0,36
16,giss-e2-r,2085,11.4,105
17,giss-e2-r-cc,2059,5.3,36
18,hadgem2-ao,2027.5,12.3,144
19,hadgem2-cc,2025,21.7,72
20,hadgem2-es,2027,8.6,144
21,inmcm4,2052.5,18.3,68
22,ipsl-cm5a-mr,2016,11.5,144
23,ipsl-cm5b-lr,2011.5,1.5,72
24,miroc5,2038,8.4,144
25,miroc-esm,2032,11.5,144
26,miroc-esm-chem,2034,11.9,144
27,mpi-esm-lr,2040,15.6,108
28,mpi-esm-mr,2035,11.9,108
29,mri-cgcm3,2020,9.6,108
30,noresm1-m,2032.5,12.9,144
,,,,
,,,,
,,,,
,,,,
,,,,
