,bylulc,Median,Standard_deviation,Sample_size
0,FORE-SCE-A1B,2042.0,27.03441969942851,33
1,FORE-SCE-A2,2043.0,26.39756713794169,34
2,FORE-SCE-B1,2042.0,25.13727019668557,34
3,GCAM-26,2043.5,26.883785135761787,32
4,GCAM-45,2040.0,26.87228981083338,32
5,GCAM-ref,2042.0,27.086072122592878,33
6,LUCAS-BAU_High-0001,2042.0,25.060301605877374,34
7,LUCAS-BAU_High-0002,2042.0,25.081755802839993,34
8,LUCAS-BAU_High-0003,2043.0,25.101167850340758,34
9,LUCAS-BAU_High-0004,2042.0,25.060301605877374,34
10,LUCAS-BAU_High-0005,2042.0,25.060301605877374,34
11,LUCAS-BAU_High-0006,2042.0,25.081755802839993,34
12,LUCAS-BAU_High-0007,2043.0,25.06533352543973,34
13,LUCAS-BAU_High-0008,2042.0,25.060301605877374,34
14,LUCAS-BAU_High-0009,2042.0,25.060301605877374,34
15,LUCAS-BAU_High-0010,2042.0,25.060301605877374,34
16,LUCAS-BAU_Low-0001,2042.0,24.939945694920773,34
17,LUCAS-BAU_Low-0002,2042.0,24.939945694920773,34
18,LUCAS-BAU_Low-0003,2042.0,25.048473505494037,34
19,LUCAS-BAU_Low-0004,2042.0,24.939945694920773,34
20,LUCAS-BAU_Low-0005,2042.0,25.048473505494037,34
21,LUCAS-BAU_Low-0006,2042.0,24.939945694920773,34
22,LUCAS-BAU_Low-0007,2042.0,25.048473505494037,34
23,LUCAS-BAU_Low-0008,2041.5,24.861129450927155,34
24,LUCAS-BAU_Low-0009,2042.0,25.060301605877374,34
25,LUCAS-BAU_Low-0010,2042.0,25.048473505494037,34
26,LUCAS-BAU_Med-0001,2042.0,25.060301605877374,34
27,LUCAS-BAU_Med-0002,2042.0,25.060301605877374,34
28,LUCAS-BAU_Med-0003,2042.0,25.060301605877374,34
29,LUCAS-BAU_Med-0004,2042.0,24.939945694920773,34
30,LUCAS-BAU_Med-0005,2042.0,25.060301605877374,34
31,LUCAS-BAU_Med-0006,2042.0,25.060301605877374,34
32,LUCAS-BAU_Med-0007,2042.0,25.060301605877374,34
33,LUCAS-BAU_Med-0008,2043.0,25.04393643635449,34
34,LUCAS-BAU_Med-0009,2042.0,25.060301605877374,34
35,LUCAS-BAU_Med-0010,2042.0,25.060301605877374,34
