,access1-0,bcc-csm1-1,bcc-csm1-1-m,canesm2,ccsm4,cesm1-bgc,cesm1-cam5,cmcc-cm,cnrm-cm5,csiro-mk3-6-0,fgoals-g2,fio-esm,gfdl-cm3,gfdl-esm2g,gfdl-esm2m,giss-e2-h-cc,giss-e2-r,giss-e2-r-cc,hadgem2-ao,hadgem2-cc,hadgem2-es,inmcm4,ipsl-cm5a-mr,ipsl-cm5b-lr,miroc5,miroc-esm,miroc-esm-chem,mpi-esm-lr,mpi-esm-mr,mri-cgcm3,noresm1-m
0,2084.0,2049.0,2057.0,2065.0,2087.0,2075.0,2064.0,2064.0,2076.0,2067.0,2083.0,,2064.0,2057.0,2045.0,,2066.0,2067.0,2072.0,2023.0,2045.0,2058.0,2077.0,2054.0,2078.0,2057,2054,2076.0,2057.0,2065.0,2067.0
1,2092.0,2049.0,2085.0,2088.0,2095.0,2097.0,2076.0,2072.0,,2073.0,2091.0,,2076.0,2071.0,2079.0,,2085.0,2073.0,2087.0,2023.0,2077.0,,2084.0,2017.0,2096.0,2076,2057,2084.0,2096.0,,2091.0
2,2096.0,2050.0,2084.0,2093.0,2096.0,,2076.0,2071.0,,2074.0,,,2083.0,2077.0,2079.0,,2088.0,2075.0,2089.0,2023.0,2077.0,,2084.0,2017.0,2098.0,2063,2058,2088.0,,,
3,2046.0,2043.0,2052.0,2056.0,2061.0,2065.0,2052.0,2061.0,2061.0,2046.0,2064.0,2065.0,2058.0,2053.0,2039.0,2074.0,2055.0,2059.0,2052.0,2026.0,2038.0,2054.0,2052.0,2045.0,2058.0,2050,2048,2059.0,2045.0,2051.0,2050.0
4,2046.0,2043.0,2056.0,2056.0,2078.0,2070.0,2060.0,2061.0,2065.0,2047.0,2067.0,2078.0,2060.0,2054.0,2039.0,,2057.0,2063.0,2061.0,2026.0,2038.0,2057.0,2056.0,2035.0,2074.0,2050,2052,2073.0,2048.0,2052.0,2054.0
5,2065.0,2043.0,2057.0,2060.0,2084.0,2071.0,2062.0,2062.0,2067.0,2048.0,2080.0,,2061.0,2056.0,2040.0,,2058.0,2065.0,2064.0,2023.0,2038.0,2057.0,2073.0,2033.0,2076.0,2050,2053,2074.0,2051.0,2062.0,2059.0
6,,2049.0,2092.0,,,,2086.0,2072.0,,,,,2089.0,2080.0,2084.0,,,2086.0,,2023.0,,,,2017.0,,2076,2057,,,,
7,,2049.0,2092.0,,,,2085.0,2070.0,,,,,2089.0,2080.0,2083.0,,,2079.0,,2023.0,,,2092.0,2017.0,,2063,2057,,,,
8,,2049.0,2090.0,,,,2078.0,2070.0,,,,,2085.0,2079.0,2048.0,,,2075.0,,2023.0,,,2092.0,2017.0,,2063,2055,,,,
9,,2049.0,2092.0,,,,2085.0,2070.0,,,,,2088.0,2080.0,2083.0,,,2079.0,,2023.0,,,2092.0,2017.0,,2063,2057,,,,
10,,2049.0,2092.0,,,,2086.0,2072.0,,,,,2089.0,2080.0,2084.0,,,2079.0,,2023.0,,,,2017.0,,2063,2057,,,,
11,,2049.0,2092.0,,,,2085.0,2070.0,,,,,2089.0,2080.0,2051.0,,,2079.0,,2023.0,,,2092.0,2017.0,,2063,2057,,,,
12,,2049.0,2092.0,,,,2085.0,2070.0,,,,,2088.0,2080.0,2051.0,,,2079.0,,2023.0,,,2092.0,2017.0,,2063,2057,,,,
13,,2049.0,2092.0,,,,2086.0,2072.0,,,,,2089.0,2080.0,2084.0,,,2086.0,,2023.0,,,,2017.0,,2076,2057,,,,
14,,2049.0,2093.0,,,,2086.0,2070.0,,,,,2092.0,2080.0,2084.0,,,2086.0,,2023.0,,,,2017.0,,2063,2057,,,,
15,,2049.0,2092.0,,,,2085.0,2070.0,,,,,2089.0,2080.0,2084.0,,,2079.0,,2023.0,,,,2017.0,,2063,2057,,,,
16,,2049.0,,,,,,2072.0,,,,,,2081.0,,,,2087.0,,2023.0,,,,2017.0,,2077,2058,,,,
17,,2049.0,,,,,,2072.0,,,,,,2081.0,2089.0,,,2087.0,,2023.0,,,,2017.0,,2077,2057,,,,
18,,2049.0,,,,,,2072.0,,,,,,2081.0,2095.0,,,2087.0,,2023.0,,,,2017.0,,2077,2058,,,,
19,,2049.0,2095.0,,,,,2072.0,,,,,,2081.0,2089.0,,,2087.0,,2023.0,,,,2017.0,,2077,2058,,,,
20,,2049.0,,,,,,2072.0,,,,,,2081.0,2095.0,,,2087.0,,2023.0,,,,2017.0,,2077,2058,,,,
21,,2049.0,,,,,,2072.0,,,,,,2081.0,,,,2087.0,,2023.0,,,,2017.0,,2077,2057,,,,
22,,2049.0,2093.0,,,,2086.0,2072.0,,,,,2092.0,2080.0,2084.0,,,2086.0,,2023.0,,,,2017.0,,2077,2057,,,,
23,,2049.0,,,,,,2073.0,,,,,,2081.0,,,,2087.0,,2023.0,,,,2017.0,,2077,2058,,,,
24,,2049.0,2093.0,,,,2086.0,2072.0,,,,,2089.0,2080.0,2084.0,,,2086.0,,2023.0,,,,2017.0,,2063,2057,,,,
25,,2049.0,,,,,,2072.0,,,,,,2081.0,2089.0,,,2087.0,,2023.0,,,,2017.0,,2077,2057,,,,
26,,2049.0,2094.0,,,,2086.0,2072.0,,,,,,2081.0,2084.0,,,2086.0,,2023.0,,,,2017.0,,2077,2057,,,,
27,,2049.0,2092.0,,,,2086.0,2070.0,,,,,2089.0,2080.0,2084.0,,,2079.0,,2023.0,,,,2017.0,,2063,2057,,,,
28,,2049.0,2092.0,,,,2086.0,2072.0,,,,,2089.0,2080.0,2084.0,,,2079.0,,2023.0,,,,2017.0,,2063,2057,,,,
29,,2049.0,2095.0,,,,,2072.0,,,,,,2081.0,2089.0,,,2086.0,,2023.0,,,,2017.0,,2077,2058,,,,
30,,2049.0,2093.0,,,,2086.0,2070.0,,,,,2089.0,2080.0,2084.0,,,2079.0,,2023.0,,,,2017.0,,2063,2057,,,,
31,,2049.0,2092.0,,,,2085.0,2070.0,,,,,2089.0,2080.0,2084.0,,,2079.0,,2023.0,,,,2017.0,,2063,2057,,,,
32,,2049.0,2092.0,,,,2086.0,2070.0,,,,,2089.0,2080.0,2084.0,,,2086.0,,2023.0,,,,2017.0,,2063,2057,,,,
33,,2049.0,2092.0,,,,2086.0,2070.0,,,,,2089.0,2080.0,2084.0,,,2079.0,,2023.0,,,,2017.0,,2063,2057,,,,
34,,2049.0,2092.0,,,,2085.0,2070.0,,,,,2089.0,2080.0,2084.0,,,2079.0,,2023.0,,,2092.0,2017.0,,2063,2057,,,,
35,,2049.0,2093.0,,,,2086.0,2070.0,,,,,2089.0,2080.0,2084.0,,,2086.0,,2023.0,,,,2017.0,,2063,2057,,,,
36,2063.0,2051.0,2071.0,,2094.0,2075.0,2040.0,2093.0,,2033.0,2082.0,,2080.0,2050.0,2064.0,,2072.0,,2037.0,2084.0,2076.0,,2062.0,2059.0,2066.0,2062,2034,2059.0,2073.0,2043.0,2033.0
37,2074.0,2072.0,2082.0,,,,2040.0,2097.0,,2032.0,2090.0,,2089.0,2054.0,2074.0,,2081.0,,2037.0,2093.0,2081.0,,2069.0,2092.0,2083.0,2068,2032,2075.0,2087.0,2085.0,2032.0
38,2074.0,2072.0,2097.0,,,,2041.0,2097.0,,2034.0,,,2097.0,2086.0,2074.0,,2081.0,,2038.0,2098.0,2082.0,,2074.0,2096.0,2084.0,2068,2036,2077.0,2088.0,2094.0,2077.0
39,2058.0,2050.0,2062.0,2054.0,2055.0,2063.0,2040.0,2058.0,2066.0,2035.0,2071.0,2085.0,2060.0,2047.0,2054.0,,2060.0,,2040.0,2058.0,2057.0,2046.0,2054.0,2055.0,2051.0,2054,2034,2058.0,2047.0,2042.0,2036.0
40,2059.0,2050.0,2064.0,2063.0,2056.0,2066.0,2040.0,2076.0,2079.0,2032.0,2075.0,2090.0,2070.0,2047.0,2056.0,,2065.0,,2037.0,2070.0,2058.0,2047.0,2057.0,2055.0,2057.0,2056,2032,2058.0,2052.0,2041.0,2033.0
41,2061.0,2046.0,2070.0,,2059.0,2073.0,2040.0,2077.0,,2032.0,2080.0,,2074.0,2048.0,2060.0,,2068.0,,2036.0,2082.0,2058.0,2049.0,2059.0,2056.0,2063.0,2062,2032,2058.0,2072.0,2041.0,2032.0
42,2074.0,2073.0,,,,,2040.0,,,2032.0,,,,,2075.0,,,,2036.0,,2085.0,,2074.0,,2094.0,2068,2028,,,,2032.0
43,2074.0,2051.0,,,,,2040.0,,,2032.0,,,,2054.0,2074.0,,2092.0,,2036.0,,2085.0,,2074.0,,2094.0,2068,2028,,,2044.0,2032.0
44,2071.0,2051.0,,,,,2040.0,,,2032.0,,,,2050.0,2074.0,,2088.0,,2036.0,,2084.0,,2074.0,,2086.0,2068,2028,,,2044.0,2032.0
45,2074.0,2073.0,,,,,2040.0,,,2032.0,,,,2054.0,2074.0,,2088.0,,2036.0,,2085.0,,2074.0,,2094.0,2068,2028,,,2044.0,2032.0
46,2074.0,2073.0,,,,,2040.0,,,2032.0,,,,2054.0,2074.0,,,,2036.0,,2085.0,,2074.0,,2094.0,2068,2028,,,,2032.0
47,2071.0,2051.0,,,,,2040.0,,,2032.0,,,,2050.0,2074.0,,2092.0,,2036.0,,2085.0,,2074.0,,2094.0,2068,2028,,,2044.0,2031.0
48,2074.0,2051.0,,,,,2040.0,,,2032.0,,,,2050.0,2074.0,,2092.0,,2036.0,,2085.0,,2074.0,,2094.0,2068,2028,,,2044.0,2031.0
49,2074.0,2073.0,,,,,2040.0,,,2032.0,,,,,2075.0,,,,2036.0,,2085.0,,2074.0,,2094.0,2068,2028,,,,2032.0
50,2074.0,2051.0,,,,,2040.0,,,2032.0,,,,2054.0,2075.0,,,,2036.0,,2085.0,,2074.0,,2095.0,2068,2028,,,2044.0,2031.0
51,2074.0,2051.0,,,,,2040.0,,,2032.0,,,,2054.0,2074.0,,,,2036.0,,2085.0,,2074.0,,2094.0,2068,2028,,,2044.0,2031.0
52,2074.0,2073.0,,,,,2040.0,,,2032.0,,,,,2075.0,,,,2037.0,,2095.0,,,,,2070,2028,,,,2031.0
53,2074.0,2051.0,,,,,2040.0,,,2032.0,,,,2054.0,2075.0,,,,2036.0,,2095.0,,2074.0,,2095.0,2070,2028,,,,2031.0
