,rcp26,rcp45,rcp60,rcp85
0,2049.0,2084.0,2019.0,2063.0
1,2049.0,2092.0,2019.0,2074.0
2,2050.0,2096.0,2019.0,2074.0
3,2043.0,2046.0,2028.0,2058.0
4,2043.0,2046.0,2026.0,2059.0
5,2043.0,2065.0,2026.0,2061.0
6,2049.0,,2019.0,2074.0
7,2049.0,,2019.0,2074.0
8,2049.0,,2019.0,2071.0
9,2049.0,,2019.0,2074.0
10,2049.0,,2019.0,2074.0
11,2049.0,,2019.0,2071.0
12,2049.0,,2019.0,2074.0
13,2049.0,,2019.0,2074.0
14,2049.0,,2019.0,2074.0
15,2049.0,,2019.0,2074.0
16,2049.0,,2019.0,2074.0
17,2049.0,,2019.0,2074.0
18,2049.0,,2019.0,2074.0
19,2049.0,,2019.0,2074.0
20,2049.0,,2019.0,2074.0
21,2049.0,,2019.0,2074.0
22,2049.0,,2019.0,2074.0
23,2049.0,,2019.0,2074.0
24,2049.0,,2019.0,2074.0
25,2049.0,,2019.0,2074.0
26,2049.0,,2019.0,2074.0
27,2049.0,,2019.0,2074.0
28,2049.0,,2019.0,2074.0
29,2049.0,,2019.0,2074.0
30,2049.0,,2019.0,2074.0
31,2049.0,,2019.0,2074.0
32,2049.0,,2019.0,2074.0
33,2049.0,,2019.0,2074.0
34,2049.0,,2019.0,2074.0
35,2049.0,,2019.0,2074.0
36,2065.0,2051.0,2073.0,2034.0
37,2088.0,2072.0,,2087.0
38,2093.0,2072.0,,2087.0
39,2056.0,2050.0,2048.0,2034.0
40,2056.0,2050.0,2053.0,2032.0
41,2060.0,2046.0,2065.0,2032.0
42,,2073.0,,2032.0
43,,2051.0,,2032.0
44,,2051.0,,2032.0
45,,2073.0,,2032.0
46,,2073.0,,2032.0
47,,2051.0,,2032.0
48,,2051.0,,2032.0
49,,2073.0,,2032.0
50,,2051.0,,2032.0
51,,2051.0,,2032.0
52,,2073.0,,2032.0
53,,2051.0,,2032.0
54,,2073.0,,2032.0
55,,2073.0,,2034.0
56,,2073.0,,2032.0
57,,2073.0,,2032.0
58,,2073.0,,2032.0
59,,2073.0,,2032.0
60,,2073.0,,2032.0
61,,2073.0,,2032.0
62,,2073.0,,2032.0
63,,2073.0,,2032.0
64,,2073.0,,2032.0
65,,2073.0,,2032.0
66,,2073.0,,2032.0
67,,2051.0,,2032.0
68,,2051.0,,2032.0
69,,2051.0,,2032.0
70,,2073.0,,2032.0
71,,2073.0,,2032.0
72,2087.0,2057.0,2040.0,2071.0
73,2095.0,2085.0,2038.0,2082.0
74,2096.0,2084.0,2042.0,2097.0
75,2061.0,2052.0,2035.0,2062.0
76,2078.0,2056.0,2035.0,2064.0
77,2084.0,2057.0,2035.0,2070.0
78,,2092.0,2041.0,
79,,2092.0,2041.0,
80,,2090.0,2040.0,
81,,2092.0,2041.0,
82,,2092.0,2041.0,
83,,2092.0,2040.0,
84,,2092.0,2040.0,
85,,2092.0,2041.0,
86,,2093.0,2040.0,
87,,2092.0,2040.0,
88,,,2041.0,
89,,,2040.0,
90,,,2041.0,
91,,2095.0,2041.0,
92,,,2041.0,
93,,,2041.0,
94,,2093.0,2041.0,
95,,,2041.0,
96,,2093.0,2041.0,
97,,,2041.0,
98,,2094.0,2041.0,
99,,2092.0,2041.0,
100,,2092.0,2041.0,
101,,2095.0,2041.0,
102,,2093.0,2041.0,
103,,2092.0,2041.0,
104,,2092.0,2040.0,
105,,2092.0,2040.0,
106,,2092.0,2041.0,
107,,2093.0,2041.0,
108,2064.0,,2097.0,
109,2076.0,,,
