,bygcm,Median,Standard_deviation,Sample_size
0,access1-0,2062.0,11.270557690432966,43
1,bcc-csm1-1,2020.5,10.742841981810672,144
2,bcc-csm1-1-m,2075.0,8.96865104181628,42
3,canesm2,2088.0,20.44460364452728,45
4,ccsm4,2087.0,22.750580854554038,58
5,cesm1-bgc,2094.0,17.503753351249593,37
6,cesm1-cam5,2030.0,20.943179691707,136
7,cmcc-cm,2066.0,15.893990557353609,72
8,cnrm-cm5,2065.5,11.310551331768554,8
9,csiro-mk3-6-0,2033.0,19.284492000936993,114
10,fgoals-g2,2062.5,15.346967510381518,18
11,fio-esm,2076.0,12.183342050907532,17
12,gfdl-cm3,2075.0,24.70676827562499,97
13,gfdl-esm2g,2051.0,12.587438932567613,144
14,gfdl-esm2m,2047.0,21.7365095609464,140
15,giss-e2-h-cc,2035.0,1.5275252316519465,3
16,giss-e2-r,2087.0,15.110009692860306,103
17,giss-e2-r-cc,2069.0,8.913472948295743,36
18,hadgem2-ao,2072.0,19.699199637112606,132
19,hadgem2-cc,2018.0,36.95370126071757,63
20,hadgem2-es,2059.0,16.677589339611835,122
21,inmcm4,2058.0,6.157712027808496,37
22,ipsl-cm5a-mr,2018.0,21.334779100210394,114
23,ipsl-cm5b-lr,2015.0,18.745390451584253,42
24,miroc5,2065.0,15.335562466699098,137
25,miroc-esm,2041.0,15.714725672203219,144
26,miroc-esm-chem,2042.0,10.575676800207152,144
27,mpi-esm-lr,2058.0,19.788759829163727,108
28,mpi-esm-mr,2066.0,19.16258342657802,69
29,mri-cgcm3,2043.0,5.6286019063609265,46
30,noresm1-m,2061.0,23.974344253596115,106
