,bylulc,Median,Standard_deviation,Sample_size
0,FORE-SCE-A1B,2052.0,17.401683511251314,95
1,FORE-SCE-A2,2061.5,23.33346441910744,90
2,FORE-SCE-B1,2065.5,22.849839714660078,84
3,GCAM-26,2039.0,10.104703151166582,97
4,GCAM-45,2042.0,12.758714426400216,97
5,GCAM-ref,2045.0,15.36019423738871,97
6,LUCAS-BAU_High-0001,2060.0,26.28482471951368,68
7,LUCAS-BAU_High-0002,2062.0,25.198032563484446,71
8,LUCAS-BAU_High-0003,2056.5,23.127412154896536,76
9,LUCAS-BAU_High-0004,2062.0,25.658098685775883,71
10,LUCAS-BAU_High-0005,2060.0,26.18930543278687,68
11,LUCAS-BAU_High-0006,2058.5,24.264904749533066,72
12,LUCAS-BAU_High-0007,2058.5,24.012320781127645,72
13,LUCAS-BAU_High-0008,2060.0,26.28482471951368,68
14,LUCAS-BAU_High-0009,2058.0,25.968795994127554,65
15,LUCAS-BAU_High-0010,2061.0,25.865250436139675,70
16,LUCAS-BAU_Low-0001,2053.0,25.782527451832784,57
17,LUCAS-BAU_Low-0002,2050.0,25.261183877063953,59
18,LUCAS-BAU_Low-0003,2053.0,26.32182916941905,59
19,LUCAS-BAU_Low-0004,2060.5,26.647918904126527,60
20,LUCAS-BAU_Low-0005,2053.0,26.30799235438336,59
21,LUCAS-BAU_Low-0006,2050.0,24.088892616198603,55
22,LUCAS-BAU_Low-0007,2059.0,26.064242009666454,65
23,LUCAS-BAU_Low-0008,2053.0,25.3179512046029,55
24,LUCAS-BAU_Low-0009,2059.0,25.73384029115235,66
25,LUCAS-BAU_Low-0010,2050.0,25.29247463541196,57
26,LUCAS-BAU_Med-0001,2059.0,25.922526957188296,65
27,LUCAS-BAU_Med-0002,2061.0,25.81226800489956,67
28,LUCAS-BAU_Med-0003,2060.0,26.27610537701547,68
29,LUCAS-BAU_Med-0004,2059.0,26.26030893071542,61
30,LUCAS-BAU_Med-0005,2059.0,26.051422550705805,67
31,LUCAS-BAU_Med-0006,2060.0,26.219358971932063,68
32,LUCAS-BAU_Med-0007,2058.0,25.77135662421314,67
33,LUCAS-BAU_Med-0008,2059.0,25.898269731906115,69
34,LUCAS-BAU_Med-0009,2062.0,25.81403473372488,70
35,LUCAS-BAU_Med-0010,2058.5,25.96058066091258,66
