,bygcm,Median,Standard_deviation,Sample_size
0,access1-0,2074.0,8.846214831264426,42
1,bcc-csm1-1,2043.0,18.54788501316359,144
2,bcc-csm1-1-m,2092.0,13.667848551751424,35
3,canesm2,2058.0,16.44553299700425,10
4,ccsm4,2065.0,15.948931658660763,19
5,cesm1-bgc,2071.0,10.059544942215052,9
6,cesm1-cam5,2040.0,17.85931128120275,134
7,cmcc-cm,2072.0,7.638006319338999,42
8,cnrm-cm5,2066.5,6.957010852370434,6
9,csiro-mk3-6-0,2034.5,22.764179482134296,70
10,fgoals-g2,2078.0,11.784978332000204,15
11,fio-esm,2082.0,7.8704793020783965,9
12,gfdl-cm3,2088.0,18.069993068063788,67
13,gfdl-esm2g,2080.0,13.514826543587642,98
14,gfdl-esm2m,2055.0,20.41080628420215,141
15,giss-e2-h-cc,2074.0,,1
16,giss-e2-r,2087.0,10.76010136665845,61
17,giss-e2-r-cc,2079.0,7.454145538845195,36
18,hadgem2-ao,2037.0,19.261218432880245,61
19,hadgem2-cc,2023.0,21.076005920280153,42
20,hadgem2-es,2074.0,13.17827979964812,83
21,inmcm4,2054.0,5.126959555693246,7
22,ipsl-cm5a-mr,2074.0,12.28881206467022,51
23,ipsl-cm5b-lr,2017.0,20.22412170459859,42
24,miroc5,2083.0,13.079965360319592,81
25,miroc-esm,2063.0,16.080941764529467,144
26,miroc-esm-chem,2057.0,13.077766324107952,144
27,mpi-esm-lr,2082.0,10.426350109014404,48
28,mpi-esm-mr,2081.0,11.7559597734198,47
29,mri-cgcm3,2044.0,16.599397579430406,25
30,noresm1-m,2032.0,18.148615589731925,63
