,bylulc,Median,Standard_deviation,Sample_size
0,FORE-SCE-A1B,2064.0,16.580032148331544,88
1,FORE-SCE-A2,2077.0,20.856283655081853,81
2,FORE-SCE-B1,2077.0,20.539035198219658,70
3,GCAM-26,2052.0,10.91981080611002,97
4,GCAM-45,2056.0,13.906734295726292,96
5,GCAM-ref,2058.5,15.778305718163473,90
6,LUCAS-BAU_High-0001,2071.0,23.704885631182794,42
7,LUCAS-BAU_High-0002,2070.0,23.150186229250505,49
8,LUCAS-BAU_High-0003,2064.0,21.882381323065005,52
9,LUCAS-BAU_High-0004,2070.0,23.025329885292212,49
10,LUCAS-BAU_High-0005,2069.0,22.93478206414462,44
11,LUCAS-BAU_High-0006,2068.0,23.300937180066125,49
12,LUCAS-BAU_High-0007,2068.0,23.303236177117775,49
13,LUCAS-BAU_High-0008,2071.0,23.704885631182794,42
14,LUCAS-BAU_High-0009,2063.0,23.485392835408227,43
15,LUCAS-BAU_High-0010,2065.5,22.74479289562194,46
16,LUCAS-BAU_Low-0001,2058.0,24.273340844588652,33
17,LUCAS-BAU_Low-0002,2059.5,24.32227903523834,38
18,LUCAS-BAU_Low-0003,2063.0,25.030695441511696,36
19,LUCAS-BAU_Low-0004,2067.0,24.7759964481754,36
20,LUCAS-BAU_Low-0005,2063.0,24.71391870541331,36
21,LUCAS-BAU_Low-0006,2059.5,24.26746756822162,34
22,LUCAS-BAU_Low-0007,2069.5,24.08318915758459,40
23,LUCAS-BAU_Low-0008,2058.0,24.207475992746414,33
24,LUCAS-BAU_Low-0009,2070.0,23.64143687991079,42
25,LUCAS-BAU_Low-0010,2062.0,24.163588135801326,35
26,LUCAS-BAU_Med-0001,2065.5,23.64251656959533,40
27,LUCAS-BAU_Med-0002,2068.0,22.891288172514905,43
28,LUCAS-BAU_Med-0003,2069.5,23.362529436027362,42
29,LUCAS-BAU_Med-0004,2067.0,24.56778586723288,38
30,LUCAS-BAU_Med-0005,2069.0,23.55773543774324,42
31,LUCAS-BAU_Med-0006,2063.0,23.054306692729938,44
32,LUCAS-BAU_Med-0007,2063.0,23.421679121150188,44
33,LUCAS-BAU_Med-0008,2063.0,22.970952232431426,45
34,LUCAS-BAU_Med-0009,2071.5,23.38612632000689,48
35,LUCAS-BAU_Med-0010,2063.0,23.493382565953414,41
