,access1-0,bcc-csm1-1,bcc-csm1-1-m,canesm2,ccsm4,cesm1-bgc,cesm1-cam5,cmcc-cm,cnrm-cm5,csiro-mk3-6-0,fgoals-g2,fio-esm,gfdl-cm3,gfdl-esm2g,gfdl-esm2m,giss-e2-h-cc,giss-e2-r,giss-e2-r-cc,hadgem2-ao,hadgem2-cc,hadgem2-es,inmcm4,ipsl-cm5a-mr,ipsl-cm5b-lr,miroc5,miroc-esm,miroc-esm-chem,mpi-esm-lr,mpi-esm-mr,mri-cgcm3,noresm1-m
0,2071.0,2048,2071.0,2063.0,2041,2053.0,2063.0,2062.0,2068.0,2048,2062.0,,2055,2054,2037,2096.0,2076.0,2064.0,2057,2067.0,2020,2073.0,2076,2034.0,2058,2042,2043,2076.0,2047.0,2096.0,2053
1,2081.0,2048,2075.0,2083.0,2081,2096.0,2090.0,2066.0,2086.0,2054,2078.0,,2075,2058,2037,,2094.0,2085.0,2072,2023.0,2026,2090.0,2081,2034.0,2077,2050,2044,2084.0,2089.0,2098.0,2053
2,2087.0,2048,2075.0,2083.0,2082,,2090.0,2066.0,2092.0,2054,2078.0,,2076,2058,2041,,,2086.0,2072,2023.0,2027,2093.0,2081,2057.0,2077,2050,2046,2088.0,2095.0,,2065
3,2057.0,2048,2068.0,2062.0,2038,2047.0,2052.0,2058.0,2064.0,2046,2051.0,2062.0,2054,2052,2034,2062.0,2067.0,2063.0,2047,2064.0,2019,2069.0,2052,2052.0,2052,2050,2043,2035.0,2039.0,2052.0,2041
4,2036.0,2048,2069.0,2063.0,2033,2047.0,2062.0,2058.0,2066.0,2046,2051.0,2068.0,2054,2036,2034,2037.0,2070.0,2063.0,2048,2066.0,2020,2073.0,2073,2046.0,2052,2042,2043,2073.0,2039.0,2071.0,2042
5,2036.0,2048,2069.0,2063.0,2033,2052.0,2054.0,2059.0,2066.0,2047,2059.0,,2050,2023,2034,,2074.0,2064.0,2054,2023.0,2026,2073.0,2073,2033.0,2058,2041,2043,2035.0,2039.0,2098.0,2041
6,2097.0,2049,2075.0,2085.0,2041,,2097.0,2063.0,,2054,,,2075,2067,2037,,,2086.0,2073,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
7,2092.0,2049,2075.0,2085.0,2042,,2097.0,2063.0,,2054,,,2076,2059,2037,,,2086.0,2072,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
8,2092.0,2048,2075.0,2084.0,2041,,2097.0,2063.0,,2054,,,2076,2023,2037,,,2079.0,2072,2023.0,2027,2098.0,2029,2034.0,2077,2040,2044,2024.0,2097.0,,2054
9,2092.0,2049,2075.0,2084.0,2042,,2097.0,2063.0,,2054,,,2076,2059,2037,,,2086.0,2072,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
10,2097.0,2049,2075.0,2085.0,2033,,,2063.0,,2054,,,2075,2067,2037,,,2086.0,2073,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
11,2097.0,2048,2075.0,2084.0,2041,,2097.0,2063.0,,2054,,,2076,2022,2037,,,2086.0,2072,2023.0,2027,,2029,2034.0,2078,2040,2044,2024.0,,,2065
12,2092.0,2048,2075.0,2084.0,2041,,2097.0,2063.0,,2054,,,2076,2022,2037,,,2086.0,2072,2023.0,2027,,2029,2034.0,2078,2040,2044,2024.0,2097.0,,2065
13,2097.0,2049,2075.0,2085.0,2041,,2097.0,2063.0,,2054,,,2075,2067,2037,,,2086.0,2073,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
14,,2048,2075.0,2085.0,2033,,,2063.0,,2054,,,2075,2022,2037,,,2086.0,2073,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
15,2097.0,2049,2075.0,2085.0,2033,,,2063.0,,2054,,,2072,2022,2037,,,2086.0,2072,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
16,2097.0,2049,2075.0,2085.0,2033,,,2065.0,,2054,,,2075,2022,2038,,,2088.0,2075,2023.0,2027,,2029,2058.0,2078,2040,2046,2024.0,,,2067
17,2097.0,2049,2075.0,2085.0,2033,,,2065.0,,2054,,,2075,2022,2037,,,2087.0,2075,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
18,2097.0,2049,2075.0,2085.0,2033,,,2065.0,,2054,,,2075,2022,2038,,,2087.0,2075,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
19,2097.0,2049,2075.0,2085.0,2089,,,2065.0,,2054,,,2076,2067,2038,,,2087.0,2075,2023.0,2027,,2029,2058.0,2078,2040,2046,2024.0,,,2067
20,2097.0,2049,2075.0,2085.0,2033,,,2065.0,,2054,,,2075,2067,2038,,,2087.0,2075,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2067
21,2097.0,2049,2075.0,2085.0,2033,,,2065.0,,2054,,,2075,2022,2037,,,2088.0,2075,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
22,,2049,2075.0,2085.0,2033,,,2064.0,,2054,,,2075,2022,2037,,,2086.0,2073,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
23,2097.0,2049,2091.0,2085.0,2033,,,2066.0,,2054,,,2075,2022,2038,,,2088.0,2075,2023.0,2027,,2029,2058.0,2078,2040,2046,2024.0,,,2067
24,2097.0,2049,2075.0,2085.0,2089,,,2063.0,,2054,,,2075,2067,2038,,,2086.0,2073,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
25,2097.0,2049,2075.0,2085.0,2033,,,2065.0,,2054,,,2075,2023,2038,,,2087.0,2075,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2066
26,2097.0,2049,2075.0,2085.0,2033,,,2063.0,,2054,,,2075,2022,2038,,,2086.0,2074,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
27,2097.0,2049,2075.0,2085.0,2033,,,2063.0,,2054,,,2075,2059,2038,,,2086.0,2073,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
28,2097.0,2049,2075.0,2085.0,2033,,,2064.0,,2054,,,2075,2022,2038,,,2086.0,2073,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
29,2097.0,2049,2075.0,2085.0,2033,,,2065.0,,2054,,,2075,2067,2038,,,2087.0,2074,2023.0,2027,,2029,2058.0,2078,2040,2046,2024.0,,,2065
30,2097.0,2049,2075.0,2085.0,2033,,,2063.0,,2054,,,2075,2059,2038,,,2086.0,2073,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
31,2097.0,2049,2075.0,2085.0,2042,,,2063.0,,2054,,,2075,2022,2037,,,2086.0,2073,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
32,2097.0,2048,2075.0,2085.0,2033,,,2063.0,,2054,,,2075,2022,2037,,,2086.0,2073,2023.0,2027,,2029,2034.0,2078,2040,2044,2024.0,,,2065
33,2097.0,2049,2075.0,2085.0,2033,,,2063.0,,2054,,,2075,2022,2037,,,2086.0,2073,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
34,2097.0,2049,2075.0,2085.0,2041,,,2063.0,,2054,,,2072,2022,2038,,,2086.0,2073,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
35,2097.0,2049,2075.0,2085.0,2033,,,2063.0,,2054,,,2075,2067,2037,,,2086.0,2073,2023.0,2027,,2029,2034.0,2078,2040,2046,2024.0,,,2065
36,2059.0,2062,2069.0,2054.0,2034,2063.0,2052.0,2060.0,2070.0,2033,2072.0,,2066,2047,2036,,2085.0,,2036,2067.0,2057,2055.0,2056,2057.0,2066,2063,2021,2058.0,2048.0,2042.0,2032
37,2069.0,2062,2072.0,2075.0,2029,2073.0,2063.0,2076.0,2085.0,2033,2080.0,,2071,2047,2036,,2091.0,,2036,2071.0,2057,2095.0,2059,2068.0,2078,2063,2021,2077.0,2089.0,2043.0,2032
38,2071.0,2062,2072.0,2075.0,2034,2072.0,2063.0,2076.0,2078.0,2033,2081.0,,2071,2047,2073,,2092.0,,2036,2071.0,2057,,2059,2066.0,2078,2063,2021,2077.0,2090.0,2043.0,2032
39,2048.0,2038,2060.0,2054.0,2033,2058.0,2036.0,2055.0,2061.0,2042,2056.0,2058.0,2052,2043,2036,,2066.0,,2036,2056.0,2053,2052.0,2049,2055.0,2061,2056,2021,2057.0,2047.0,2041.0,2033
40,2055.0,2027,2063.0,2053.0,2032,2062.0,2041.0,2058.0,2063.0,2034,2056.0,2064.0,2052,2043,2036,,2076.0,,2035,2058.0,2053,2049.0,2053,2053.0,2061,2062,2021,2057.0,2046.0,2041.0,2032
41,2057.0,2027,2069.0,2053.0,2033,2062.0,2042.0,2060.0,2070.0,2031,2064.0,2091.0,2048,2043,2036,,2078.0,,2035,2059.0,2057,2054.0,2053,2049.0,2062,2062,2021,2054.0,2035.0,2041.0,2031
42,2070.0,2028,2081.0,,2033,2072.0,2063.0,2086.0,2088.0,2031,2090.0,,2048,2047,2074,,,,2035,2071.0,2057,,2059,2067.0,2080,2062,2021,2077.0,2091.0,2043.0,2032
43,2070.0,2028,2072.0,,2033,2072.0,2063.0,2082.0,2078.0,2031,2090.0,,2048,2047,2073,,,,2035,2071.0,2057,,2059,2059.0,2080,2062,2021,2064.0,2091.0,2043.0,2032
