,rcp26,rcp45,rcp60,rcp85
0,2048.0,2071.0,2022.0,2059.0
1,2048.0,2081.0,2017.0,2069.0
2,2048.0,2087.0,2017.0,2071.0
3,2048.0,2057.0,2025.0,2048.0
4,2048.0,2036.0,2023.0,2055.0
5,2048.0,2036.0,2022.0,2057.0
6,2049.0,2097.0,2015.0,2070.0
7,2049.0,2092.0,2015.0,2070.0
8,2048.0,2092.0,2015.0,2069.0
9,2049.0,2092.0,2015.0,2070.0
10,2049.0,2097.0,2015.0,2070.0
11,2048.0,2097.0,2015.0,2069.0
12,2048.0,2092.0,2015.0,2070.0
13,2049.0,2097.0,2015.0,2070.0
14,2048.0,,2015.0,2070.0
15,2049.0,2097.0,2015.0,2070.0
16,2049.0,2097.0,2015.0,2071.0
17,2049.0,2097.0,2015.0,2071.0
18,2049.0,2097.0,2015.0,2071.0
19,2049.0,2097.0,2015.0,2071.0
20,2049.0,2097.0,2015.0,2071.0
21,2049.0,2097.0,2015.0,2071.0
22,2049.0,,2015.0,2070.0
23,2049.0,2097.0,2015.0,2070.0
24,2049.0,2097.0,2015.0,2070.0
25,2049.0,2097.0,2015.0,2071.0
26,2049.0,2097.0,2015.0,2070.0
27,2049.0,2097.0,2015.0,2070.0
28,2049.0,2097.0,2015.0,2070.0
29,2049.0,2097.0,2015.0,2071.0
30,2049.0,2097.0,2015.0,2070.0
31,2049.0,2097.0,2015.0,2070.0
32,2048.0,2097.0,2015.0,2070.0
33,2049.0,2097.0,2015.0,2069.0
34,2049.0,2097.0,2015.0,2070.0
35,2049.0,2097.0,2015.0,2070.0
36,2063.0,2062.0,2044.0,2032.0
37,2083.0,2062.0,2053.0,2032.0
38,2083.0,2062.0,2065.0,2033.0
39,2062.0,2038.0,2041.0,2032.0
40,2063.0,2027.0,2036.0,2032.0
41,2063.0,2027.0,2037.0,2032.0
42,2085.0,2028.0,2053.0,2023.0
43,2085.0,2028.0,2053.0,2023.0
44,2084.0,2028.0,2047.0,2023.0
45,2084.0,2045.0,2053.0,2023.0
46,2085.0,2028.0,2053.0,2023.0
47,2084.0,2028.0,2053.0,2023.0
48,2084.0,2028.0,2053.0,2023.0
49,2085.0,2028.0,2053.0,2023.0
50,2085.0,2028.0,2053.0,2023.0
51,2085.0,2028.0,2053.0,2023.0
52,2085.0,2046.0,2053.0,2023.0
53,2085.0,2028.0,2053.0,2023.0
54,2085.0,2045.0,2053.0,2023.0
55,2085.0,2046.0,2072.0,2023.0
56,2085.0,2046.0,2053.0,2023.0
57,2085.0,2028.0,2053.0,2023.0
58,2085.0,2028.0,2053.0,2023.0
59,2085.0,2046.0,2072.0,2023.0
60,2085.0,2045.0,2053.0,2023.0
61,2085.0,2045.0,2053.0,2023.0
62,2085.0,2045.0,2053.0,2023.0
63,2085.0,2045.0,2053.0,2023.0
64,2085.0,2045.0,2053.0,2023.0
65,2085.0,2046.0,2053.0,2023.0
66,2085.0,2045.0,2053.0,2023.0
67,2085.0,2028.0,2053.0,2023.0
68,2085.0,2028.0,2053.0,2023.0
69,2085.0,2028.0,2053.0,2023.0
70,2085.0,2028.0,2053.0,2023.0
71,2085.0,2028.0,2053.0,2023.0
72,2041.0,2071.0,2061.0,2069.0
73,2081.0,2075.0,2061.0,2072.0
74,2082.0,2075.0,2061.0,2072.0
75,2038.0,2068.0,2056.0,2060.0
76,2033.0,2069.0,2056.0,2063.0
77,2033.0,2069.0,2056.0,2069.0
78,2041.0,2075.0,2061.0,2081.0
79,2042.0,2075.0,2061.0,2072.0
80,2041.0,2075.0,2061.0,2072.0
81,2042.0,2075.0,2061.0,2072.0
82,2033.0,2075.0,2061.0,2073.0
83,2041.0,2075.0,2061.0,2072.0
84,2041.0,2075.0,2061.0,2072.0
85,2041.0,2075.0,2061.0,2081.0
86,2033.0,2075.0,2061.0,2073.0
87,2033.0,2075.0,2061.0,2073.0
88,2033.0,2075.0,2061.0,2082.0
89,2033.0,2075.0,2061.0,2081.0
90,2033.0,2075.0,2061.0,2081.0
91,2089.0,2075.0,2061.0,2081.0
92,2033.0,2075.0,2061.0,2081.0
93,2033.0,2075.0,2061.0,2082.0
94,2033.0,2075.0,2061.0,2073.0
95,2033.0,2091.0,2061.0,2082.0
96,2089.0,2075.0,2061.0,2073.0
97,2033.0,2075.0,2061.0,2081.0
98,2033.0,2075.0,2061.0,2081.0
99,2033.0,2075.0,2061.0,2073.0
100,2033.0,2075.0,2061.0,2073.0
101,2033.0,2075.0,2061.0,2081.0
102,2033.0,2075.0,2061.0,2073.0
103,2042.0,2075.0,2061.0,2073.0
104,2033.0,2075.0,2061.0,2073.0
105,2033.0,2075.0,2061.0,2073.0
106,2041.0,2075.0,2061.0,2073.0
107,2033.0,2075.0,2061.0,2081.0
108,2063.0,2054.0,2066.0,2074.0
109,2090.0,2075.0,2075.0,2076.0
110,2090.0,2075.0,2075.0,2077.0
111,2052.0,2054.0,2056.0,2045.0
112,2062.0,2053.0,2058.0,2045.0
113,2054.0,2053.0,2065.0,2041.0
114,2097.0,,2081.0,2097.0
115,2097.0,,2079.0,2097.0
116,2097.0,,2080.0,2077.0
117,2097.0,,2079.0,2097.0
118,,,2081.0,2097.0
119,2097.0,,2080.0,2097.0
120,2097.0,,2079.0,2097.0
121,2097.0,,2081.0,2097.0
122,,,2081.0,
123,,,2080.0,2097.0
124,,,2097.0,
125,,,2096.0,
126,,,2096.0,
127,,,2096.0,
128,,,2096.0,
129,,,2097.0,
130,,,2081.0,2098.0
131,,,2097.0,
132,,,2081.0,2097.0
133,,,2096.0,
134,,,2081.0,
135,,,2081.0,2098.0
136,,,2081.0,2097.0
137,,,2081.0,
138,,,2081.0,2098.0
139,,,2081.0,2097.0
140,,,2081.0,2097.0
141,,,2081.0,2097.0
142,,,2080.0,2097.0
143,,,2081.0,
144,2048.0,2034.0,2075.0,2059.0
145,2054.0,2029.0,,2065.0
146,2054.0,2034.0,,2065.0
147,2046.0,2033.0,2062.0,2055.0
148,2046.0,2032.0,2069.0,2057.0
149,2047.0,2033.0,2070.0,2059.0
150,2054.0,2033.0,,2065.0
151,2054.0,2033.0,,2065.0
152,2054.0,2029.0,,2065.0
153,2054.0,2033.0,,2065.0
154,2054.0,2033.0,,2065.0
155,2054.0,2033.0,,2065.0
156,2054.0,2029.0,,2065.0
157,2054.0,2033.0,,2065.0
158,2054.0,2033.0,,2065.0
159,2054.0,2033.0,,2065.0
160,2054.0,2033.0,,2065.0
161,2054.0,2033.0,,2065.0
162,2054.0,2033.0,,2065.0
163,2054.0,2033.0,,2065.0
164,2054.0,2033.0,,2065.0
165,2054.0,2033.0,,2065.0
166,2054.0,2033.0,,2065.0
167,2054.0,2033.0,,2073.0
168,2054.0,2033.0,,2065.0
169,2054.0,2033.0,,2065.0
170,2054.0,2033.0,,2065.0
171,2054.0,2033.0,,2065.0
172,2054.0,2033.0,,2065.0
173,2054.0,2033.0,,2065.0
174,2054.0,2033.0,,2065.0
175,2054.0,2033.0,,2065.0
176,2054.0,2033.0,,2065.0
177,2054.0,2033.0,,2065.0
178,2054.0,2033.0,,2065.0
179,2054.0,2033.0,,2065.0
180,2062.0,2053.0,2039.0,2063.0
181,2078.0,2096.0,2039.0,2073.0
182,2078.0,,2051.0,2072.0
183,2051.0,2047.0,2038.0,2058.0
184,2051.0,2047.0,2038.0,2062.0
185,2059.0,2052.0,2038.0,2062.0
186,,,2039.0,2072.0
187,,,2039.0,2072.0
188,,,2039.0,2072.0
189,,,2039.0,2072.0
190,,,2039.0,2072.0
191,,,2039.0,2072.0
192,,,2038.0,2072.0
193,,,2039.0,2072.0
194,,,2039.0,2073.0
195,,,2039.0,2072.0
196,,,2039.0,2073.0
197,,,2039.0,2073.0
198,,,2039.0,2073.0
199,,,2039.0,2073.0
200,,,2039.0,2073.0
201,,,2039.0,2073.0
202,,,2038.0,2072.0
203,,,2039.0,2073.0
204,,,2039.0,2073.0
205,,,2039.0,2073.0
206,,,2039.0,2073.0
207,,,2039.0,2072.0
208,,,2039.0,2072.0
209,,,2039.0,2073.0
210,,,2039.0,2072.0
211,,,2039.0,2072.0
212,,,2038.0,2072.0
