,rcp26,rcp45,rcp60,rcp85
0,2025.0,2025.0,2019.0,2049.0
1,2025.0,2025.0,2019.0,2055.0
2,2030.0,2026.0,2019.0,2056.0
3,2025.0,2025.0,2019.0,2040.0
4,2025.0,2025.0,2019.0,2043.0
5,2025.0,2025.0,2019.0,2047.0
6,2029.0,2025.0,2019.0,2056.0
7,2029.0,2025.0,2019.0,2056.0
8,2025.0,2025.0,2019.0,2055.0
9,2029.0,2025.0,2019.0,2056.0
10,2029.0,2025.0,2019.0,2056.0
11,2025.0,2025.0,2019.0,2055.0
12,2025.0,2025.0,2019.0,2056.0
13,2029.0,2025.0,2019.0,2056.0
14,2025.0,2025.0,2019.0,2056.0
15,2025.0,2025.0,2019.0,2056.0
16,2030.0,2025.0,2019.0,2059.0
17,2025.0,2025.0,2019.0,2056.0
18,2029.0,2025.0,2019.0,2057.0
19,2030.0,2025.0,2019.0,2059.0
20,2030.0,2025.0,2019.0,2059.0
21,2029.0,2025.0,2019.0,2058.0
22,2029.0,2025.0,2019.0,2056.0
23,2030.0,2025.0,2019.0,2059.0
24,2029.0,2025.0,2019.0,2056.0
25,2030.0,2025.0,2019.0,2057.0
26,2029.0,2025.0,2019.0,2056.0
27,2030.0,2025.0,2019.0,2056.0
28,2029.0,2025.0,2019.0,2056.0
29,2030.0,2025.0,2019.0,2057.0
30,2030.0,2025.0,2019.0,2056.0
31,2029.0,2025.0,2019.0,2056.0
32,2025.0,2025.0,2019.0,2056.0
33,2025.0,2025.0,2019.0,2056.0
34,2029.0,2025.0,2019.0,2056.0
35,2029.0,2025.0,2019.0,2056.0
36,2046.0,2029.0,2046.0,2020.0
37,2056.0,2029.0,2054.0,2019.0
38,2060.0,2029.0,2063.0,2020.0
39,2037.0,2028.0,2040.0,2019.0
40,2039.0,2028.0,2043.0,2019.0
41,2044.0,2028.0,2043.0,2019.0
42,2060.0,2029.0,2065.0,2020.0
43,2060.0,2029.0,2059.0,2020.0
44,2060.0,2029.0,2056.0,2020.0
45,2060.0,2029.0,2059.0,2020.0
46,2060.0,2029.0,2065.0,2020.0
47,2060.0,2029.0,2059.0,2020.0
48,2060.0,2029.0,2059.0,2020.0
49,2060.0,2029.0,2065.0,2020.0
50,2060.0,2029.0,2065.0,2020.0
51,2060.0,2029.0,2059.0,2020.0
52,2073.0,2029.0,2065.0,2020.0
53,2070.0,2029.0,2065.0,2020.0
54,2073.0,2029.0,2065.0,2020.0
55,2073.0,2029.0,2065.0,2020.0
56,2073.0,2029.0,2065.0,2020.0
57,2073.0,2029.0,2065.0,2020.0
58,2060.0,2029.0,2065.0,2020.0
59,2073.0,2029.0,2066.0,2020.0
60,2060.0,2029.0,2065.0,2020.0
61,2070.0,2029.0,2065.0,2020.0
62,2060.0,2029.0,2065.0,2020.0
63,2060.0,2029.0,2065.0,2020.0
64,2060.0,2029.0,2065.0,2020.0
65,2070.0,2029.0,2065.0,2020.0
66,2061.0,2029.0,2065.0,2020.0
67,2060.0,2029.0,2065.0,2020.0
68,2060.0,2029.0,2059.0,2020.0
69,2060.0,2029.0,2059.0,2020.0
70,2060.0,2029.0,2065.0,2020.0
71,2060.0,2029.0,2065.0,2020.0
72,2042.0,2047.0,2030.0,2062.0
73,2043.0,2058.0,2030.0,2072.0
74,2055.0,2067.0,2033.0,2074.0
75,2033.0,2043.0,2029.0,2047.0
76,2036.0,2043.0,2029.0,2052.0
77,2041.0,2046.0,2029.0,2054.0
78,2054.0,2067.0,2030.0,2074.0
79,2054.0,2067.0,2030.0,2073.0
80,2043.0,2064.0,2030.0,2073.0
81,2054.0,2067.0,2030.0,2073.0
82,2054.0,2067.0,2030.0,2074.0
83,2054.0,2064.0,2030.0,2073.0
84,2054.0,2064.0,2030.0,2073.0
85,2054.0,2067.0,2030.0,2074.0
86,2054.0,2067.0,2030.0,2074.0
87,2054.0,2067.0,2030.0,2073.0
88,2056.0,2068.0,2030.0,2078.0
89,2054.0,2067.0,2030.0,2077.0
90,2056.0,2068.0,2030.0,2077.0
91,2056.0,2068.0,2033.0,2077.0
92,2056.0,2068.0,2033.0,2077.0
93,2056.0,2068.0,2030.0,2077.0
94,2054.0,2067.0,2030.0,2074.0
95,2056.0,2068.0,2030.0,2078.0
96,2054.0,2067.0,2030.0,2074.0
97,2056.0,2067.0,2030.0,2077.0
98,2054.0,2067.0,2030.0,2074.0
99,2054.0,2067.0,2030.0,2074.0
100,2054.0,2067.0,2030.0,2074.0
101,2056.0,2068.0,2030.0,2077.0
102,2054.0,2067.0,2030.0,2074.0
103,2054.0,2067.0,2030.0,2073.0
104,2054.0,2067.0,2030.0,2073.0
105,2054.0,2067.0,2030.0,2073.0
106,2054.0,2067.0,2030.0,2073.0
107,2054.0,2067.0,2030.0,2074.0
108,2040.0,2038.0,2062.0,2023.0
109,2040.0,2037.0,2063.0,2023.0
110,2059.0,2038.0,2067.0,2023.0
111,2031.0,2031.0,2047.0,2023.0
112,2039.0,2033.0,2054.0,2023.0
113,2040.0,2034.0,2058.0,2023.0
114,2059.0,2038.0,2067.0,2023.0
115,2041.0,2038.0,2067.0,2023.0
116,2055.0,2038.0,2064.0,2023.0
117,2059.0,2038.0,2067.0,2023.0
118,2041.0,2038.0,2067.0,2023.0
119,2041.0,2038.0,2067.0,2023.0
120,2041.0,2038.0,2066.0,2023.0
121,2059.0,2038.0,2067.0,2023.0
122,2041.0,2038.0,2067.0,2023.0
123,2041.0,2038.0,2067.0,2023.0
124,2059.0,2038.0,2070.0,2023.0
125,2059.0,2038.0,2069.0,2023.0
126,2041.0,2038.0,2069.0,2023.0
127,2059.0,2038.0,2070.0,2023.0
128,2059.0,2038.0,2070.0,2023.0
129,2059.0,2038.0,2069.0,2023.0
130,2041.0,2038.0,2067.0,2023.0
131,2059.0,2038.0,2070.0,2023.0
132,2041.0,2038.0,2067.0,2023.0
133,2059.0,2038.0,2069.0,2023.0
134,2059.0,2038.0,2067.0,2023.0
135,2059.0,2038.0,2067.0,2023.0
136,2041.0,2038.0,2067.0,2023.0
137,2059.0,2038.0,2069.0,2023.0
138,2041.0,2038.0,2067.0,2023.0
139,2041.0,2038.0,2067.0,2023.0
140,2041.0,2038.0,2067.0,2023.0
141,2041.0,2038.0,2067.0,2023.0
142,2059.0,2038.0,2067.0,2023.0
143,2041.0,2038.0,2067.0,2023.0
144,2046.0,2028.0,2071.0,2056.0
145,2047.0,2028.0,2091.0,2064.0
146,2048.0,2028.0,2098.0,2069.0
147,2033.0,2025.0,2060.0,2046.0
148,2033.0,2025.0,2066.0,2050.0
149,2034.0,2025.0,2068.0,2052.0
150,2048.0,2028.0,,2069.0
151,2047.0,2028.0,,2068.0
152,2047.0,2028.0,,2065.0
153,2048.0,2028.0,,2068.0
154,2048.0,2028.0,,2069.0
155,2047.0,2028.0,,2068.0
156,2047.0,2028.0,,2068.0
157,2048.0,2028.0,,2069.0
158,2048.0,2028.0,,2069.0
159,2048.0,2028.0,,2069.0
160,2048.0,2028.0,,2070.0
