,bygcm,Median,Standard_deviation,Sample_size
0,access1-0,2024.0,21.172622170564157,72
1,bcc-csm1-1,2013.0,2.4953628322020958,144
2,bcc-csm1-1-m,2057.0,8.805496931623594,72
3,canesm2,2018.0,18.56382766223534,108
4,ccsm4,2033.5,15.47577341967318,144
5,cesm1-bgc,2053.0,8.173287054989265,72
6,cesm1-cam5,2020.5,9.51430240595443,144
7,cmcc-cm,2059.0,9.973193726898169,72
8,cnrm-cm5,2075.0,9.117291264405234,72
9,csiro-mk3-6-0,2030.0,13.535025716060577,144
10,fgoals-g2,2062.0,9.708613825673618,108
11,fio-esm,2087.0,13.461217425359253,77
12,gfdl-cm3,2030.0,9.306151623628214,144
13,gfdl-esm2g,2015.5,11.771554400630064,144
14,gfdl-esm2m,2012.5,4.7323877055344274,144
15,giss-e2-h-cc,2027.0,0.0,36
16,giss-e2-r,2085.0,11.435517577751446,105
17,giss-e2-r-cc,2059.0,5.310964997658073,36
18,hadgem2-ao,2027.5,12.287352073535656,144
19,hadgem2-cc,2025.0,21.708698847093597,72
20,hadgem2-es,2027.0,8.574867959820754,144
21,inmcm4,2052.5,18.287480905192215,68
22,ipsl-cm5a-mr,2016.0,11.499820528311396,144
23,ipsl-cm5b-lr,2011.5,1.5105264449340403,72
24,miroc5,2038.0,8.384617835018853,144
25,miroc-esm,2032.0,11.480429531936608,144
26,miroc-esm-chem,2034.0,11.85675150842575,144
27,mpi-esm-lr,2040.0,15.623878291339258,108
28,mpi-esm-mr,2035.0,11.862515754581372,108
29,mri-cgcm3,2020.0,9.6317268797475,108
30,noresm1-m,2032.5,12.946425978236062,144
