,bylulc,Median,Standard_deviation,Sample_size
0,FORE-SCE-A1B,2032.0,17.5273411846588,97
1,FORE-SCE-A2,2030.0,21.504933644460092,96
2,FORE-SCE-B1,2037.0,21.629104029002782,95
3,GCAM-26,2029.0,12.205482262117263,97
4,GCAM-45,2029.0,14.078159951814227,97
5,GCAM-ref,2030.0,16.245796442829626,97
6,LUCAS-BAU_High-0001,2033.0,22.89285768459858,94
7,LUCAS-BAU_High-0002,2034.0,21.713176239797313,94
8,LUCAS-BAU_High-0003,2031.0,21.33621702513103,94
9,LUCAS-BAU_High-0004,2034.0,21.822679774741314,94
10,LUCAS-BAU_High-0005,2033.0,22.272259307494174,94
11,LUCAS-BAU_High-0006,2032.0,21.649038109436404,94
12,LUCAS-BAU_High-0007,2031.0,21.71017049883621,94
13,LUCAS-BAU_High-0008,2033.0,22.89285768459858,94
14,LUCAS-BAU_High-0009,2033.0,22.240971938325487,94
15,LUCAS-BAU_High-0010,2034.0,22.0296694760181,94
16,LUCAS-BAU_Low-0001,2033.0,21.997435747995254,91
17,LUCAS-BAU_Low-0002,2032.5,22.545489398372695,92
18,LUCAS-BAU_Low-0003,2033.0,23.30247074003088,93
19,LUCAS-BAU_Low-0004,2035.0,23.307295296220996,93
20,LUCAS-BAU_Low-0005,2035.0,23.307295296220996,93
21,LUCAS-BAU_Low-0006,2033.0,22.092269599757653,91
22,LUCAS-BAU_Low-0007,2033.0,22.951402409639506,94
23,LUCAS-BAU_Low-0008,2033.0,22.393097008917586,91
24,LUCAS-BAU_Low-0009,2034.0,22.279831050842457,94
25,LUCAS-BAU_Low-0010,2033.0,21.879149702335138,91
26,LUCAS-BAU_Med-0001,2034.0,22.943708281662413,94
27,LUCAS-BAU_Med-0002,2035.0,22.413911668528613,94
28,LUCAS-BAU_Med-0003,2033.0,22.90685185302681,94
29,LUCAS-BAU_Med-0004,2035.0,23.65334611486607,94
30,LUCAS-BAU_Med-0005,2034.0,22.28933509402832,94
31,LUCAS-BAU_Med-0006,2032.5,22.113093500026828,94
32,LUCAS-BAU_Med-0007,2033.0,22.137938235331905,94
33,LUCAS-BAU_Med-0008,2032.5,22.108716736930525,94
34,LUCAS-BAU_Med-0009,2034.0,22.146410758730067,94
35,LUCAS-BAU_Med-0010,2032.5,22.279140483049698,94
