,bygcm,Median,Standard_deviation,Sample_size
0,access1-0,2071.0,16.017175046815566,70
1,bcc-csm1-1,2028.0,13.815270314463406,144
2,bcc-csm1-1-m,2075.0,4.520082124255669,72
3,canesm2,2085.0,14.448816504070441,66
4,ccsm4,2045.5,14.908572702158313,144
5,cesm1-bgc,2072.0,8.4594441378823,41
6,cesm1-cam5,2063.0,12.821077472202145,121
7,cmcc-cm,2065.0,11.228735772216456,72
8,cnrm-cm5,2080.0,8.80281472248096,42
9,csiro-mk3-6-0,2050.0,18.809311784066153,144
10,fgoals-g2,2090.0,12.61339543346288,77
11,fio-esm,2098.0,13.60741280618628,43
12,gfdl-cm3,2049.0,15.571998295807477,144
13,gfdl-esm2g,2047.0,16.5250025420031,144
14,gfdl-esm2m,2038.0,13.700084222088114,144
15,giss-e2-h-cc,2062.0,29.614185789921695,3
16,giss-e2-r,2084.0,9.855643335364922,83
17,giss-e2-r-cc,2086.0,7.345660634601232,36
18,hadgem2-ao,2070.0,15.82883477990438,144
19,hadgem2-cc,2061.5,24.580788839431108,72
20,hadgem2-es,2058.0,15.634133694056617,144
21,inmcm4,2073.0,17.877529488328655,12
22,ipsl-cm5a-mr,2059.5,17.66370731030312,144
23,ipsl-cm5b-lr,2057.0,14.361467911163547,72
24,miroc5,2057.0,11.57432444691639,144
25,miroc-esm,2048.0,11.179184439133506,144
26,miroc-esm-chem,2048.5,13.038337767838804,144
27,mpi-esm-lr,2045.0,19.40754546678545,108
28,mpi-esm-mr,2068.0,16.24325109760723,74
29,mri-cgcm3,2043.0,18.70329211623448,47
30,noresm1-m,2057.0,13.05537597621539,144
