,bylulc,Median,Standard_deviation,Sample_size
0,FORE-SCE-A1B,2057.0,15.52780261258379,95
1,FORE-SCE-A2,2066.0,19.671798682228054,93
2,FORE-SCE-B1,2066.0,18.44536143666237,89
3,GCAM-26,2052.0,10.728160505652939,97
4,GCAM-45,2051.0,13.128151724351548,97
5,GCAM-ref,2051.0,15.79131120326862,95
6,LUCAS-BAU_High-0001,2061.5,21.511535528523787,82
7,LUCAS-BAU_High-0002,2059.0,20.802986027065355,82
8,LUCAS-BAU_High-0003,2058.5,21.289241045184703,84
9,LUCAS-BAU_High-0004,2059.0,20.572197174765034,82
10,LUCAS-BAU_High-0005,2061.0,21.023605192940675,81
11,LUCAS-BAU_High-0006,2059.0,21.320880511823567,82
12,LUCAS-BAU_High-0007,2059.0,21.59922670332446,83
13,LUCAS-BAU_High-0008,2061.5,21.511535528523787,82
14,LUCAS-BAU_High-0009,2058.0,21.02648983807671,79
15,LUCAS-BAU_High-0010,2059.0,21.310795386376363,81
16,LUCAS-BAU_Low-0001,2059.0,22.195379222083005,79
17,LUCAS-BAU_Low-0002,2058.0,22.200021637985774,79
18,LUCAS-BAU_Low-0003,2059.0,22.127797061418054,79
19,LUCAS-BAU_Low-0004,2063.0,21.589950193714866,80
20,LUCAS-BAU_Low-0005,2061.0,21.587950285593777,79
21,LUCAS-BAU_Low-0006,2058.0,22.055923763674834,77
22,LUCAS-BAU_Low-0007,2058.5,21.53347408870928,80
23,LUCAS-BAU_Low-0008,2060.0,22.24478596953683,78
24,LUCAS-BAU_Low-0009,2062.0,21.1333727654732,81
25,LUCAS-BAU_Low-0010,2061.5,22.11556242255265,80
26,LUCAS-BAU_Med-0001,2059.0,21.391139624395418,80
27,LUCAS-BAU_Med-0002,2059.0,20.76449367383814,81
28,LUCAS-BAU_Med-0003,2061.0,21.479641524010592,81
29,LUCAS-BAU_Med-0004,2062.0,21.258743547425137,80
30,LUCAS-BAU_Med-0005,2059.0,20.800648434811883,81
31,LUCAS-BAU_Med-0006,2059.0,21.26911631079146,81
32,LUCAS-BAU_Med-0007,2059.0,21.451912919393333,81
33,LUCAS-BAU_Med-0008,2059.0,21.373970266150174,81
34,LUCAS-BAU_Med-0009,2059.0,21.242515021636315,81
35,LUCAS-BAU_Med-0010,2059.0,21.00352215791377,80
