,bygcm,Median,Standard_deviation,Sample_size
0,access1-0,,,0
1,bcc-csm1-1,,,0
2,bcc-csm1-1-m,2022.0,0.0,72
3,canesm2,2070.0,3.9264561506495137,72
4,ccsm4,2098.0,0.0,35
5,cesm1-bgc,2083.5,1.3345065261105367,72
6,cesm1-cam5,2075.0,1.6752161670510484,36
7,cmcc-cm,,,0
8,cnrm-cm5,2033.5,0.9428090415820634,72
9,csiro-mk3-6-0,2030.0,,1
10,fgoals-g2,2003.0,6.637703179264601,108
11,fio-esm,2037.0,21.409102044449465,144
12,gfdl-cm3,2076.0,2.2905949875142477,36
13,gfdl-esm2g,2044.0,0.0,36
14,gfdl-esm2m,,,0
15,giss-e2-h-cc,2057.0,1.4735767952260146,36
16,giss-e2-r,2036.5,6.062610391180086,144
17,giss-e2-r-cc,2042.0,0.0,35
18,hadgem2-ao,,,0
19,hadgem2-cc,2065.0,3.4846602621858476,36
20,hadgem2-es,,,0
21,inmcm4,2026.0,0.0,36
22,ipsl-cm5a-mr,2038.0,0.0,36
23,ipsl-cm5b-lr,,,0
24,miroc5,,,0
25,miroc-esm,,,0
26,miroc-esm-chem,,,0
27,mpi-esm-lr,2053.0,0.0,32
28,mpi-esm-mr,2068.0,5.590887259128729,72
29,mri-cgcm3,2079.0,11.178873187858631,106
30,noresm1-m,,,0
