,bylulc,Median,Standard_deviation,Sample_size
0,FORE-SCE-A1B,2047.0,27.03396432772536,33
1,FORE-SCE-A2,2048.5,26.21168794011999,34
2,FORE-SCE-B1,2047.0,24.831770108526076,35
3,GCAM-26,2045.5,27.20116630359555,30
4,GCAM-45,2045.5,26.83099360333,32
5,GCAM-ref,2047.0,27.190858813768703,33
6,LUCAS-BAU_High-0001,2047.0,24.942947377684096,34
7,LUCAS-BAU_High-0002,2047.0,25.06590244217514,34
8,LUCAS-BAU_High-0003,2047.0,25.084687221028428,34
9,LUCAS-BAU_High-0004,2047.0,25.06590244217514,34
10,LUCAS-BAU_High-0005,2047.0,25.06590244217514,34
11,LUCAS-BAU_High-0006,2047.0,25.06590244217514,34
12,LUCAS-BAU_High-0007,2047.0,25.084687221028428,34
13,LUCAS-BAU_High-0008,2047.0,24.942947377684096,34
14,LUCAS-BAU_High-0009,2047.0,24.971498905267133,34
15,LUCAS-BAU_High-0010,2047.0,25.06590244217514,34
16,LUCAS-BAU_Low-0001,2047.0,24.79549151130075,34
17,LUCAS-BAU_Low-0002,2047.0,24.79549151130075,34
18,LUCAS-BAU_Low-0003,2047.0,24.79549151130075,34
19,LUCAS-BAU_Low-0004,2047.0,24.79549151130075,34
20,LUCAS-BAU_Low-0005,2047.0,24.79549151130075,34
21,LUCAS-BAU_Low-0006,2047.0,24.79549151130075,34
22,LUCAS-BAU_Low-0007,2047.0,24.942947377684096,34
23,LUCAS-BAU_Low-0008,2047.0,24.79549151130075,34
24,LUCAS-BAU_Low-0009,2047.0,24.942947377684096,34
25,LUCAS-BAU_Low-0010,2047.0,24.79549151130075,34
26,LUCAS-BAU_Med-0001,2047.0,24.82561281606971,34
27,LUCAS-BAU_Med-0002,2047.0,24.942947377684096,34
28,LUCAS-BAU_Med-0003,2047.0,24.942947377684096,34
29,LUCAS-BAU_Med-0004,2047.0,24.79549151130075,34
30,LUCAS-BAU_Med-0005,2047.0,25.037529762602194,34
31,LUCAS-BAU_Med-0006,2047.0,25.06590244217514,34
32,LUCAS-BAU_Med-0007,2047.0,24.942947377684096,34
33,LUCAS-BAU_Med-0008,2047.0,25.06590244217514,34
34,LUCAS-BAU_Med-0009,2047.0,25.06590244217514,34
35,LUCAS-BAU_Med-0010,2047.0,24.942947377684096,34
